text,label,processed_text
"1. Михаил Лермонтов Смерть поэта
Отмщенье, государь, отмщенье!
Паду к ногам твоим:
Будь справедлив и накажи убийцу,
Чтоб казнь его в позднейшие века
Твой правый суд потомству возвестила,
Чтоб видели злодеи в ней пример.
Погиб поэт! — невольник чести —
Пал, оклеветанный молвой,
С свинцом в груди и жаждой мести,
Поникнув гордой головой!..
Не вынесла душа поэта
Позора мелочных обид,
Восстал он против мнений света
Один, как прежде… и убит!
Убит!.. К чему теперь рыданья,
Пустых похвал ненужный хор
И жалкий лепет оправданья?
Судьбы свершился приговор!
Не вы ль сперва так злобно гнали
Его свободный, смелый дар
И для потехи раздували
Чуть затаившийся пожар?
Что ж? веселитесь… Он мучений
Последних вынести не мог:
Угас, как светоч, дивный гений,
Увял торжественный венок.
Его убийца хладнокровно
Навел удар… спасенья нет:
Пустое сердце бьется ровно,
В руке не дрогнул пистолет.
И что за диво?.. издалека,
Подобный сотням беглецов,
На ловлю счастья и чинов
Заброшен к нам по воле рока;
Смеясь, он дерзко презирал
Земли чужой язык и нравы;
Не мог щадить он нашей славы;
Не мог понять в сей миг кровавый,
На что он руку поднимал!..
И он убит — и взят могилой,
Как тот певец, неведомый, но милый,
Добыча ревности глухой,
Воспетый им с такою чудной силой,
Сраженный, как и он, безжалостной рукой.
Зачем от мирных нег и дружбы простодушной
Вступил он в этот свет завистливый и душный
Для сердца вольного и пламенных страстей?
Зачем он руку дал клеветникам ничтожным,
Зачем поверил он словам и ласкам ложным,
Он, с юных лет постигнувший людей?..
И прежний сняв венок — они венец терновый,
Увитый лаврами, надели на него:
Но иглы тайные сурово
Язвили славное чело;
Отравлены его последние мгновенья
Коварным шепотом насмешливых невежд,
И умер он — с напрасной жаждой мщенья,
С досадой тайною обманутых надежд.
Замолкли звуки чудных песен,
Не раздаваться им опять:
Приют певца угрюм и тесен,
И на устах его печать.
А вы, надменные потомки
Известной подлостью прославленных отцов,
Пятою рабскою поправшие обломки
Игрою счастия обиженных родов!
Вы, жадною толпой стоящие у трона,
Свободы, Гения и Славы палачи!
Таитесь вы под сению закона,
Пред вами суд и правда — всё молчи!..
Но есть и божий суд, наперсники разврата!
Есть грозный суд: он ждет;
Он не доступен звону злата,
И мысли, и дела он знает наперед.
Тогда напрасно вы прибегнете к злословью:
Оно вам не поможет вновь,
И вы не смоете всей вашей черной кровью
Поэта праведную кровь!",1,михаил лермонтов смерть поэт отмщение государь отмщение пасть нога твой справедливый наказать убийца казнь позднейшие век твой правый суд потомство возвестить видеть злодей пример погибнуть поэт невольник честь пасть оклеветанный молва свинец грудь жажда месть поникнув гордый голова вынести душа поэт позор мелочный обида восстать против мнение свет прежде убить убить рыдание пустой похвала ненужный хор жалкий лепет оправдание судьба свершиться приговор сперва злобно гнать свободный смелый дар потеха раздувать затаиться пожар веселитесь мучение последний вынести мочь угаснуть светоч дивный гений увялый торжественный венок убийца хладнокровно навести удар спасение пустой сердце биться ровно рука дрогнуть пистолет диво издалека подобный сотня беглец ловля счастие чин забросить воля рок смеясь дерзко презирать земля чужой язык нрав мочь щадить наш слава мочь понять сей миг кровавый рука поднимать убить взять могила певец неведомый милый добыча ревность глухой воспеть чудной сила сразить безжалостный рука мирный нега дружба простодушный вступить свет завистливый душный сердце вольный пламенный страсть рука дать клеветник ничтожный поверить слово ласкам ложный юный год постичь человек прежний снять венок венец терновый увить лавра надеть игла тайный сурово язвить славный чело отравить последний мгновение коварный шепот насмешливый невежда умереть напрасный жажда мщение досада тайна обмануть надежда замолкнуть звук чудной песня раздаваться приют певец угрюмый тесный уста печать надменный потомок известный подлость прославить отец пятою рабский попрать обломок игрою счастие обидеть род жадною толпа стоить трон свобода гений слава палач таиться сение закон пред суд правда молчать божий суд наперсник разврат грозный суд ждать доступный звон злато мысль дело знать наперед напрасно прибегнуть злословие оно помочь вновь смыть весь ваш черный кровь поэт праведный кровь
"2. Михаил Лермонтов И скучно и грустно…
И скучно и грустно, и некому руку подать
В минуту душевной невзгоды…
Желанья!.. Что пользы напрасно и вечно желать?..
А годы проходят — все лучшие годы!
Любить… Но кого же?.. На время — не стоит труда,
А вечно любить невозможно.
В себя ли заглянешь? — там прошлого нет и следа:
И радость, и муки, и всё там ничтожно…
Что страсти? — ведь рано иль поздно их сладкий недуг
Исчезнет при слове рассудка;
И жизнь, как посмотришь с холодным вниманьем вокруг, –
Такая пустая и глупая шутка…",1,михаил лермонтов скучный грустный скучный грустный некого рука подать минута душевный невзгода желание польза напрасно вечно желать год проходить весь хороший год любить время стоить труд вечный любить невозможный заглянуть прошлый след радость мука весь ничтожно страсть рано иль поздно сладкий недуг исчезнуть слово рассудок жизнь посмотреть холодный внимание вокруг пустой глупый шутка
"3. Михаил Лермонтов В рядах стояли безмолвной толпой...
В рядах стояли безмолвной толпой,
Когда хоронили мы друга;
Лишь поп полковой бормотал — и порой
Ревела осенняя вьюга.
Кругом кивера над могилой святой
Недвижны в тумане сверкали,
Уланская шапка да меч боевой
На гробе дощатом лежали.
И билося сердце в груди не одно,
И в землю все очи смотрели,
Как будто бы всё, что уж ей отдано,
Они у ней вырвать хотели.
Напрасные слезы из глаз не текли:
Тоска наши души сжимала,
И горсть роковая прощальной земли,
Упавши на гроб, застучала.
Прощай, наш товарищ, недолго ты жил,
Певец с голубыми очами,
Лишь крест деревянный себе заслужил
Да вечную память меж нами!",1,михаил лермонтов ряд стоять безмолвной толпа ряд стоять безмолвной толпа хоронить друг лишь поп полковой бормотать порой реветь осенний вьюга кругом кивер могила святой недвижны туман сверкать уланский шапка меч боевой гроб дощатый лежать билося сердце грудь земля весь око смотреть весь отдать вырвать хотеть напрасный слеза глаз течь тоска наш душа сжимать горсть роковой прощальный земля упасть гроб застучать прощать наш товарищ недолго жить певец голубой око лишь крест деревянный заслужить вечный память межа
"4. Михаил Лермонтов Измученный тоскою и недугом...
Измученный тоскою и недугом
И угасая в полном цвете лет,
Проститься я с тобой желал как с другом,
Но хладен был прощальный твой привет;
Но ты не веришь мне, ты притворилась,
Что в шутку приняла слова мои;
Моим слезам смеяться ты решилась,
Чтоб с сожаленьем не явить любви;
Скажи мне, для чего такое мщенье?
Я виноват, другую мог хвалить,
Но разве я не требовал прощенья
У ног твоих? но разве я любить
Тебя переставал, когда толпою
Безумцев молодых окружена,
Горда одной своею красотою,
Ты привлекала взоры их одна? -
Я издали смотрел, почти желая,
Чтоб для других очей твой блеск исчез;
Ты для меня была как счастье рая
Для демона, изгнанника небес.",1,михаил лермонтов измучить тоска недуг измучить тоска недуг угасая полный цвет год проститься желать друг хладный прощальный твой привет верить притвориться шутка принять слово слеза смеяться решиться сожаление явить любовь сказать мщение виноватый мочь хвалить требовать прощенья нога твой любить переставать толпою безумец молодая окружить гордый свой красота привлекать взор издали смотреть желать око твой блеск исчезнуть счастие рай демон изгнанник небо
"5. Михаил Лермонтов Как в ночь звезды падучей пламень...
Как в ночь звезды падучей пламень,
Не нужен в мире я.
Хоть сердце тяжело как камень,
Но всё под ним змея.",1,михаил лермонтов ночь звезда падучей пламень ночь звезда падучий пламень нужный мир сердце тяжело камень весь змея
"Меня спасало вдохновенье
От мелочных сует,
Но от своей души спасенья
И в самом счастье нет.",1,спасать вдохновенье мелочный суета свой душа спасение счастие
"Молю о счастии, бывало,
Дождался наконец,
И тягостно мне счастье стало,
Как для царя венец.",1,молить счастие бывало дождаться тягостный счастие стать царь венец
"И, все мечты отвергнув, снова
Остался я один —
Как замка мрачного, пустого
Ничтожный властелин.",1,весь мечта отвергнуть снова остаться замок мрачный пустой ничтожный властелина
"6. Дилан Томас Не уходи смиренно в сумрак вечной тьмы
Не уходи смиренно, в сумрак вечной тьмы,
Пусть тлеет бесконечность в яростном закате.
Пылает гнев на то, как гаснет смертный мир,
Пусть мудрецы твердят, что прав лишь тьмы покой.
И не разжечь уж тлеющий костёр.
Не уходи смиренно в сумрак вечной тьмы,
Пылает гнев на то, как гаснет смертный мир
Не гасни, уходя во мрак ночной.
Пусть вспыхнет старость заревом заката.
Встань против тьмы, сдавившей свет земной.
Мудрец твердит: ночь — праведный покой,
Не став при жизни молнией крылатой.
Не гасни, уходя во мрак ночной.
Глупец, побитый штормовой волной,
Как в тихой бухте — рад, что в смерть упрятан...
Встань против тьмы, сдавившей свет земной.
Подлец, желавший солнце скрыть стеной,
Скулит, когда приходит ночь расплаты.
Не гасни, уходя во мрак ночной.
Слепец прозреет в миг последний свой:
Ведь были звёзды-радуги когда-то...
Встань против тьмы, сдавившей свет земной.
Отец, ты — перед чёрной крутизной.
От слёз всё в мире солоно и свято.
Не гасни, уходя во мрак ночной.
Встань против тьмы, сдавившей свет земной.",1,дилан томас уходить смиренно сумрак вечный тьма уходить смиренно сумрак вечный тьма пусть тлеть бесконечность яростный закат пылать гнев гаснуть смертный мир пусть мудрец твердить право лишь тьма покой разжечь тлеть костер уходить смиренно сумрак вечный тьма пылать гнев гаснуть смертный мир гаснуть уходя мрак ночной пусть вспыхнуть старость заревой закат встань против тьма сдавить свет земной мудрец твердить ночь праведный покой стать жизнь молния крылатый гаснуть уходя мрак ночной глупец побить штормовой волна тихий бухта рад смерть упрятать встань против тьма сдавить свет земной подлец желать солнце скрыть стена скулить приходить ночь расплата гаснуть уходя мрак ночной слепец прозреть миг последний свой звезда радуга встать против тьма сдавить свет земной отец черный крутизна слеза весь мир соленый свято гаснуть уходя мрак ночной встать против тьма сдавить свет земной
"7. Александр Блок Пляски смерти
Как тяжко мертвецу среди людей
Живым и страстным притворяться!
Но надо, надо в общество втираться,
Скрывая для карьеры лязг костей…
Живые спят. Мертвец встает из гроба,
И в банк идет, и в суд идет, в сенат…
Чем ночь белее, тем чернее злоба,
И перья торжествующе скрипят.
Мертвец весь день труди́тся над докладом.
Присутствие кончается. И вот —
Нашептывает он, виляя задом,
Сенатору скабрезный анекдот…
Уж вечер. Мелкий дождь зашлепал грязью
Прохожих, и дома, и прочий вздор…
А мертвеца — к другому безобразью
Скрежещущий несет таксомотор.
В зал многолюдный и многоколонный
Спешит мертвец. На нем — изящный фрак.
Его дарят улыбкой благосклонной
Хозяйка — дура и супруг — дурак.
Он изнемог от дня чиновной скуки,
Но лязг костей музы́кой заглушен…
Он крепко жмет приятельские руки —
Живым, живым казаться должен он!
Лишь у колонны встретится очами
С подругою — она, как он, мертва.
За их условно-светскими речами
Ты слышишь настоящие слова:
«Усталый друг, мне странно в этом зале». —
«Усталый друг, могила холодна». —
«Уж полночь». — «Да, но вы не приглашали
На вальс NN. Она в вас влюблена…»
А там — NN уж ищет взором страстным
Его, его — с волнением в крови…
В её лице, девически прекрасном,
Бессмысленный восторг живой любви…
Он шепчет ей незначащие речи,
Пленительные для живых слова,
И смотрит он, как розовеют плечи,
Как на плечо склонилась голова…
И острый яд привычно-светской злости
С нездешней злостью расточает он…
«Как он умён! Как он в меня влюблён!»
В её ушах — нездешний, странный звон:
То кости лязгают о кости.",1,александр блок пляска смерть тяжко мертвецу среди человек живой страстный притворяться общество втираться скрывать карьера лязг кость живой спать мертвец вставать гроб банк идти суд идти сенат ночь белее чернее злоба перо торжествующе скрипеть мертвец весь день трудить тся доклад присутствие кончаться нашептывать вилять зад сенатор скабрезный анекдот вечер мелкий дождь зашлепать грязь прохожий дом прочий вздор мертвец безобразие скрежетать нести таксомотор зал многолюдный многоколонный спешить мертвец изящный фрак дарить улыбка благосклонный хозяйка дура супруг дурак изнемочь день чиновный скука лязг кость муза кой заглушить крепко жать приятельский рука живой живой казаться должный лишь колонна встретиться око подруга мертвый условно светский речь слышать настоящий слово усталый друг странный зал усталый друг могила холодна полночь приглашать вальс влюбить искать взор страстный волнение кровь лицо девически прекрасный бессмысленный восторг живой любовь шептать незначащий речь пленительный живой слово смотреть розоветь плечо плечо склониться голова острый привычно светский злость нездешний злость расточать умный влюбить ухо нездешний странный звон кость лязгают кость
"Ночь, улица, фонарь, аптека,
Бессмысленный и тусклый свет.
Живи ещё хоть четверть века —
Всё будет так. Исхода нет.
Умрёшь — начнёшь опять сначала
И повторится всё, как встарь:
Ночь, ледяная рябь канала,
Аптека, улица, фонарь.",1,ночь улица фонарь аптека бессмысленный тусклый свет живить четверть век весь исход умереть начнешь сначала повториться весь встарь ночь ледяной рябь канал аптека улица фонарь
"Пустая улица. Один огонь в окне.
Еврей-аптекарь охает во сне.
А перед шкапом с надписью Venena
Хозяйственно согнув скрипучие колена,
Скелет, до глаз закутанный плащом,
Чего-то ищет, скалясь черным ртом…
Нашел… Но ненароком чем-то звякнул,
И череп повернул… Аптекарь крякнул,
Привстал — и на другой свалился бок…
А гость меж тем — заветный пузырек
Суёт из-под плаща двум женщинам безносым.
На улице, под фонарем белёсым.",1,пустой улица огонь окно еврей аптекарь охаять сон шкап надпись хозяйственный согнув скрипучие колено скелет глаз закутать плащ искать скалиться черный рот найти ненароком звякнуть череп повернуть аптекарь крякнуть привстать свалиться бок гость меж заветный пузырек суета плащ женщина безносый улица фонарь белесый
"Старый, старый сон. Из мрака
Фонари бегут — куда?
Там — лишь черная вода,
Там — забвенье навсегда.
Тень скользит из-за угла,
К ней другая подползла.
Плащ распахнут, грудь бела,
Алый цвет в петлице фрака.
Тень вторая — стройный латник,
Иль невеста от венца?
Шлем и перья. Нет лица.
Неподвижность мертвеца.
В воротах гремит звонок,
Глухо щелкает замок.
Переходят за порог
Проститутка и развратник…
Воет ветер леденящий,
Пусто, тихо и темно.
Наверху горит окно.
Всё равно.
Как свинец, черна вода.
В ней забвенье навсегда.
Третий призрак. Ты куда,
Ты, из тени в тень скользящий?",1,старый старый сон мрак фонарь бежать лишь черный вода забвение навсегда тень скользить угол подползти плащ распахнуть грудь бела алый цвет петлица фрак тень второй стройный латник иль невеста венец шлем перо лицо неподвижность мертвец ворота греметь звонок глухо щелкает замок переходить порог проститутка развратник выть ветер леденящий пустой тихий темный наверху гореть окно весь равный свинец черный вода забвенье навсегда третий призрак тень тень скользящий
"Вновь богатый зол и рад,
Вновь унижен бедный.
С кровель каменных громад
Смотрит месяц бледный,
Насылает тишину,
Оттеняет крутизну
Каменных отвесов,
Черноту навесов…
Всё бы это было зря,
Если б не было царя,
Чтоб блюсти законы.
Только не ищи дворца,
Добродушного лица,
Золотой короны.
Он — с далеких пустырей
В свете редких фонарей
Появляется.
Шея скручена платком,
Под дырявым козырьком
Улыбается.",1,вновь богатый зол рад вновь унизить бедный кровля каменный громада смотреть месяц бледный насылать тишина оттенять крутизна каменный отвес черноту навес весь это зря царь блюсти закон искать дворец добродушный лицо золотой корона далекий пустырь свет редкий фонарь появляться шея скрутить платок дырявый козырек улыбаться
"8. Анна Ахматова Он прав — опять фонарь, аптека…
Он прав — опять фонарь, аптека,
Нева, безмолвие, гранит…
Как памятник началу века,
Там этот человек стоит —
Когда он Пушкинскому Дому,
Прощаясь, помахал рукой
И принял смертную истому
Как незаслуженный покой.",1,анна ахматов правый фонарь аптека правый фонарь аптека нева безмолвие гранит памятник начало век человек стоить пушкинский дом прощаться помахать рука принять смертный истый незаслуженный покой
"9. Марина Цветаева Осыпались листья
Осыпались листья над Вашей могилой,
И пахнет зимой.
Послушайте, мёртвый, послушайте, милый:
Вы всё-таки мой.
Смеётесь! — В блаженной крылатке дорожной!
Луна высока.
Мой — так несомненно и так непреложно,
Как эта рука.
Опять с узелком подойду утром рано
К больничным дверям.
Вы просто уехали в жаркие страны,
К великим морям.
Я Вас целовала! Я Вам колдовала!
Смеюсь над загробною тьмой!
Я смерти не верю! Я жду Вас с вокзала —
Домой.
Пусть листья осыпались, смыты и стёрты
На траурных лентах слова.
И, если для целого мира Вы мёртвый,
Я тоже мертва.
Я вижу, я чувствую, — чую Вас всюду!
— Что́ ленты от Ваших венков! —
Я Вас не забыла и Вас не забуду
Во веки веков!
Таких обещаний я знаю бесцельность,
Я знаю тщету.
— Письмо в бесконечность. — Письмо
в беспредельность —
Письмо в пустоту.",1,марина цветаев осыпаться лист осыпаться лист ваш могила пахнуть зима послушать мертвый послушайте милый таки смеетесь блаженный крылатка дорожный луна высокий несомненно непреложный рука узелок подойти утро рано больничный дверь просто уехать жаркий страна великий море целовать колдовать смеяться загробный тьма смерть верить ждать вокзал домой пусть лист осыпаться смыть стертый траурный лента слово целый мир мертвый мертвый видеть чувствовать чуять всюду лента ваш венок забыть забыть веко век обещание знать бесцельность знать тщета письмо бесконечность письмо беспредельность письмо пустота
"10. Марина Цветаева Так будет
Словно тихий ребенок, обласканный тьмой,
С бесконечным томленьем в блуждающем взоре,
Ты застыл у окна. В коридоре
Чей-то шаг торопливый — не мой!
Дверь открылась… Морозного ветра струя…
Запах свежести, счастья… Забыты тревоги…
Миг молчанья, и вот на пороге
Кто-то слабо смеется — не я!
Тень трамваев, как прежде, бежит по стене,
Шум оркестра внизу осторожней и глуше…
— «Пусть сольются без слов наши души!»
Ты взволнованно шепчешь — не мне!
— «Сколько книг!.. Мне казалось… Не надо огня:
Так уютней… Забыла сейчас все слова я»…
Видят беглые тени трамвая
На диване с тобой — не меня!",1,марина цветаев словно тихий ребенок обласкать тьма бесконечный томление блуждающий взор застынуть окно коридор чей шаг торопливый дверь открыться морозный ветер струя запах свежесть счастие забыть тревога миг молчание порог слабо смеяться тень трамвай прежде бежать стена шум оркестр внизу осторожней глуше пусть слиться слово наш душа взволнованно шептать сколько книга казаться огонь уютней забыть весь слово видеть беглый тень трамвай диван
"11. Николай Гумилев Мне снилось
Мне снилось: мы умерли оба,
Лежим с успокоенным взглядом,
Два белые, белые гроба
Поставлены рядом.
Когда мы сказали — довольно?
Давно ли, и что это значит?
Но странно, что сердцу не больно,
Что сердце не плачет.
Бессильные чувства так странны,
Застывшие мысли так ясны,
И губы твои не желанны,
Хоть вечно прекрасны.
Свершилось: мы умерли оба,
Лежим с успокоенным взглядом,
Два белые, белые гроба
Поставлены рядом.",1,николай гумилев сниться сниться умереть оба лежать успокоить взгляд белый белый гроб поставить рядом сказать довольно давно это значить странный сердце больно сердце плакать бессильный чувство странный застывший мысль ясный губа твой желанный вечно прекрасный свершилось умереть оба лежать успокоить взгляд белый белый гроб поставить рядом
"12. Анна Ахматова Кого когда-то называли люди
Кого когда-то называли люди
Царем в насмешку, Богом в самом деле,
Кто был убит — и чье орудье пытки
Согрето теплотой моей груди…
Вкусили смерть свидетели Христовы,
И сплетницы-старухи, и солдаты,
И прокуратор Рима — все прошли.
Там, где когда-то возвышалась арка,
Где море билось, где чернел утес, –
Их выпили в вине, вдохнули с пылью жаркой
И с запахом бессмертных роз.
Ржавеет золото и истлевает сталь,
Крошится мрамор — к смерти все готово.
Всего прочнее на земле печаль
И долговечней — царственное слово.",1,анна ахматов называть человек называть человек царь насмешка бог дело убить чей орудье пытка согреть теплота грудь вкусили смерть свидетель христов сплетница старуха солдат прокуратор рим весь пройти возвышаться арка море биться чернеть утес выпить вина вдохнуть пыль жаркий запах бессмертный роза ржаветь золото истлевать сталь крошиться мрамор смерть весь готовый прочный земля печаль долговечней царственный слово
"13. Анна Ахматова Песня последней встречи
Так беспомощно грудь холодела,
Но шаги мои были легки.
Я на правую руку надела
Перчатку с левой руки.
Показалось, что много ступеней,
А я знала — их только три!
Между кленов шепот осенний
Попросил: «Со мною умри!
Я обманут моей унылой,
Переменчивой, злой судьбой».
Я ответила: «Милый, милый!
И я тоже. Умру с тобой…»
Это песня последней встречи.
Я взглянула на темный дом.
Только в спальне горели свечи
Равнодушно-желтым огнем.",1,анна ахматов песня последний встреча беспомощно грудь холодеть шаг легкий правый рука надеть перчатка левый рука показаться ступень знать клен шепот осенний попросить умри обмануть унылый переменчивый злой судьба ответить милый милый умереть это песня последний встреча взглянуть темный дом спальня гореть свеча равнодушно желтый огонь
"14. Иосиф Бродский Бессмертия у смерти не прошу
Бессмертия у смерти не прошу.
Испуганный, возлюбленный и нищий, —
но с каждым днем я прожитым дышу
уверенней и сладостней и чище.
Как широко на набережных мне,
как холодно и ветрено и вечно,
как облака, блестящие в окне,
надломленны, легки и быстротечны.
И осенью и летом не умру,
не всколыхнется зимняя простынка,
взгляни, любовь, как в розовом углу
горит меж мной и жизнью паутинка.
И что-то, как раздавленный паук,
во мне бежит и странно угасает.
Но выдохи мои и взмахи рук
меж временем и мною повисают.
Да. Времени — о собственной судьбе
кричу все громче голосом печальным.
Да. Говорю о времени себе,
но время мне ответствует молчаньем.
Лети в окне и вздрагивай в огне,
слетай, слетай на фитилечек жадный.
Свисти, река! Звони, звони по мне,
мой Петербург, мой колокол пожарный.
Пусть время обо мне молчит.
Пускай легко рыдает ветер резкий
и над моей могилою еврейской
младая жизнь настойчиво кричит.",1,иосиф бродский бессмертие смерть просить бессмертие смерть просить испуганный возлюбить нищий каждый день прожитым дышать уверенный сладостней чище широко набережная холодный ветреный вечно облако блестящий окно надломленна легкий быстротечный осень лето умереть всколыхнуться зимний простынка взглянуть любовь розовый угол гореть меж жизнь паутинка раздавить паук бежать странно угасать выдохи взмах рука межа время повисают время собственный судьба кричать громкий голос печальный говорить время время ответствовать молчание лететь окно вздрагивать огонь слетай слетать фитилечек жадный свистеть река звонить звонить петербург колокол пожарный пусть время молчать пускай легко рыдать ветер резкий могила еврейский младой жизнь настойчиво кричать
"15. Иосиф Бродский Одиночество
Когда теряет равновесие
твоё сознание усталое,
когда ступеньки этой лестницы
уходят из-под ног,
как палуба,
когда плюёт на человечество
твоё ночное одиночество, —
ты можешь
размышлять о вечности
и сомневаться в непорочности
идей, гипотез, восприятия
произведения искусства,
и — кстати — самого зачатия
Мадонной сына Иисуса.
Но лучше поклоняться данности
с глубокими её могилами,
которые потом,
за давностью,
покажутся такими милыми.
Да.
Лучше поклоняться данности
с короткими её дорогами,
которые потом
до странности
покажутся тебе
широкими,
покажутся большими,
пыльными,
усеянными компромиссами,
покажутся большими крыльями,
покажутся большими птицами.
Да. Лучше поклоняться данности
с убогими её мерилами,
которые потом до крайности,
послужат для тебя перилами
(хотя и не особо чистыми),
удерживающими в равновесии
твои хромающие истины
на этой выщербленной лестнице.",1,иосиф бродский одиночество терять равновесие твой сознание усталый ступенька лестница уходить нога палуба плевать человечество твой ночной одиночество мочь размышлять вечность сомневаться непорочность идея гипотеза восприятие произведение искусство кстати зачатие мадонна сын иисус поклоняться данность глубокий могила который давность показаться милый поклоняться данность короткий дорога который странность показаться широкий показаться больший пыльный усеять компромисс показаться больший крыло показаться больший птица поклоняться данность убогий мерило который крайность послужить перила хотя особо чистый удерживать равновесие твой хромать истина выщербить лестница
